wav,transcript,accent
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0001.wav,Author of the danger trail Philip Steels etc,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0002.wav,Not at this particular case Tom apologized Whittemore,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0003.wav,For the twentieth time that evening the two men shook hands,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0004.wav,Lord but I'm glad to see you again Phil,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0005.wav,Will we ever forget it,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0007.wav,And you always want to see it in the superlative degree,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0008.wav,Gad your letter came just in time,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0009.wav,He turned sharply and faced Gregson across the table,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0010.wav,I'm playing a single hand in what looks like a losing game,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0011.wav,If I ever needed a fighter in my life I need one now,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0012.wav,Gregson shoved back his chair and rose to his feet,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0014.wav,Now you're coming down to business Phil he exclaimed,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0015.wav,It's the aurora borealis,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0016.wav,There's Fort Churchill a rifle shot beyond the ridge asleep,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0017.wav,From that moment his friendship for Belize turns to hatred and jealousy,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0018.wav,There was a change now,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0019.wav,I followed the line of the proposed railroad looking for chances,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0020.wav,Clubs and balls and cities grew to be only memories,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0021.wav,It fairly clubbed me into recognizing it,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0022.wav,Hardly were our plans made public before we were met by powerful opposition,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0024.wav,It was my reports from the north which chiefly induced people to buy,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0025.wav,I was about to do this when cooler judgment prevailed,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0026.wav,It occurred to me that there would have to be an accounting,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0027.wav,To my surprise he began to show actual enthusiasm in my favor,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0028.wav,Robbery bribery fraud,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0029.wav,Their forces were already moving into the north country,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0030.wav,I had faith in them,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0031.wav,They were three hundred yards apart,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0032.wav,Since then some mysterious force has been fighting us at every step,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0033.wav,He unfolded a long typewritten letter and handed it to Gregson,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0034.wav,Men of Selden's stamp don't stop at women and children,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0035.wav,He stopped and Philip nodded at the horrified question in his eyes,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0036.wav,She turned in at the hotel,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0037.wav,I was the only one who remained sitting,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0038.wav,We will have to watch our chances,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0039.wav,The ship should be in within a week or ten days,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0040.wav,I suppose you wonder why she is coming up here,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0041.wav,Meanwhile I'll go out to breathe a spell,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0042.wav,How could he explain his possession of the sketch,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0043.wav,It seemed nearer to him since he had seen and talked with Gregson,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0044.wav,Her own betrayal of herself was like a tonic to Philip,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0045.wav,He moved away as quietly as he had come,Male Arabic
